name,episode,link,pic,season,genre,rank
Sen to Chihiro no Kamikakushi,1,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,https://cdn.myanimelist.net/images/anime/6/79597.jpg,OVA ONA SPECIAL,Adventure Supernatural Drama,30
Monogatari Series: Second Season,26,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/images/anime/3/52133.jpg,Summer 2013,Mystery Comedy Supernatural Romance Vampire,31
Cowboy Bebop,26,https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/images/anime/4/19644.jpg,Spring 1998,Action Adventure Comedy Drama Sci-Fi Space,32
Fate/stay night Movie: Heaven's Feel - III. Spring Song,1,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,https://cdn.myanimelist.net/images/anime/1142/112957.jpg,OVA ONA SPECIAL,Action Supernatural Magic Fantasy,33
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,12,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://cdn.myanimelist.net/images/anime/10/82947.jpg,Winter 2017,Drama Historical Josei,34
Mushishi Zoku Shou 2nd Season,10,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,https://cdn.myanimelist.net/images/anime/9/68095.jpg,Fall 2014,Adventure Fantasy Historical Mystery Seinen Slice of Life Supernatural,35
Hajime no Ippo,75,https://myanimelist.net/anime/263/Hajime_no_Ippo,https://cdn.myanimelist.net/images/anime/4/86334.jpg,Fall 2000,Comedy Sports Drama Shounen,36
Jujutsu Kaisen (TV),24,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,Fall 2020,Action Demons Supernatural School Shounen,37
Evangelion: 3.0+1.0 Thrice Upon a Time,1,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,https://cdn.myanimelist.net/images/anime/1422/113533.jpg,OVA ONA SPECIAL,Action Sci-Fi Psychological Drama Mecha,38
Kimetsu no Yaiba Movie: Mugen Ressha-hen,1,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,https://cdn.myanimelist.net/images/anime/1704/106947.jpg,OVA ONA SPECIAL,Action Historical Demons Supernatural Shounen,39
