name,episode,link,pic,season,genre,rank
Code Geass: Hangyaku no Lelouch R2,25,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,https://cdn.myanimelist.net/images/anime/4/9391.jpg,Spring 2008,Action Military Sci-Fi SuperPower Drama Mecha,19
Cowboy Bebop,26,https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/images/anime/4/19644.jpg,Spring 1998,Action Adventure Comedy Drama Sci-Fi Space,32
Kill la Kill,24,https://myanimelist.net/anime/18679/Kill_la_Kill,https://cdn.myanimelist.net/images/anime/1464/111943.jpg,Fall 2013,Action Comedy SuperPower Ecchi School,468
Jujutsu Kaisen (TV),24,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,Fall 2020,Action Demons Supernatural School Shounen,37
Neon Genesis Evangelion,26,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion,https://cdn.myanimelist.net/images/anime/1314/108941.jpg,Fall 1995,Action Sci-Fi Dementia Psychological Drama Mecha,201
Soul Eater,51,https://myanimelist.net/anime/3588/Soul_Eater,https://cdn.myanimelist.net/images/anime/9/7804.jpg,Spring 2008,Action Fantasy Comedy Supernatural Shounen,756
Psycho-Pass,22,https://myanimelist.net/anime/13601/Psycho-Pass,https://cdn.myanimelist.net/images/anime/5/43399.jpg,Fall 2012,Action Sci-Fi Police Psychological Thriller,181
Tengen Toppa Gurren Lagann,27,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,https://cdn.myanimelist.net/images/anime/4/5123.jpg,Spring 2007,Action Sci-Fi Adventure Comedy Mecha,57
Elfen Lied,13,https://myanimelist.net/anime/226/Elfen_Lied,https://cdn.myanimelist.net/images/anime/10/6883.jpg,Summer 2004,Action Horror Psychological Supernatural Drama Romance Seinen,1516
Shingeki no Kyojin: The Final Season,16,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,Winter 2021,Action Military Mystery SuperPower Drama Fantasy Shounen,17
